# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_264054.69931371114
# 
Resultados:
# tau_s_=_(8.87+/-0.62)e-08
# dphi_rad_=_6.43+/-0.01
# SAR_W/g_=_3456.99+/-305.31
# Hc_kA/m_=_10.71+/-0.69
# Mr_A/m_=_1250.96+/-37.22
# Suceptibilidad_a_M=0_=_0.1362+/-0.0004

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
265kHz_150dA_100Mss_Ni0sRD006.txt	29/05/2024 17:58:45	20.2	1292.78	11.84	57041.50	3556.36	2.640264e+05	5.929681e+01	6.445301e+00	3838.88	9.858650e-08	4545	1.346e-01
265kHz_150dA_100Mss_Ni0sRD007.txt	29/05/2024 17:58:45	20.2	1306.62	11.79	57041.50	3594.34	2.640264e+05	5.996120e+01	6.444949e+00	3873.54	9.836929e-08	4545	1.363e-01
265kHz_150dA_100Mss_Ni0sRD008.txt	29/05/2024 17:58:46	20.2	1305.77	11.70	57041.50	3605.29	2.640264e+05	6.019089e+01	6.443522e+00	3854.38	9.748679e-08	4545	1.363e-01
265kHz_150dA_100Mss_Ni0sRD009.txt	29/05/2024 17:58:47	20.1	1302.74	11.65	57041.50	3603.73	2.640264e+05	6.015689e+01	6.442985e+00	3839.41	9.715448e-08	4545	1.365e-01
265kHz_150dA_100Mss_Ni0sRD010.txt	29/05/2024 17:58:47	20.1	1297.46	11.53	57041.50	3617.25	2.640264e+05	6.036603e+01	6.441117e+00	3808.10	9.599942e-08	4545	1.366e-01
265kHz_150dA_100Mss_Ni0sRD011.txt	29/05/2024 17:58:48	20.2	1293.68	11.46	57041.50	3615.65	2.640264e+05	6.036610e+01	6.440128e+00	3784.45	9.538792e-08	4545	1.366e-01
265kHz_150dA_100Mss_Ni0sRD012.txt	29/05/2024 17:58:48	20.2	1284.60	11.30	57041.50	3622.13	2.640264e+05	6.045220e+01	6.437831e+00	3734.82	9.396885e-08	4545	1.367e-01
265kHz_150dA_100Mss_Ni0sRD013.txt	29/05/2024 17:58:49	20.2	1288.57	11.38	57041.50	3608.80	2.640264e+05	6.029417e+01	6.439056e+00	3754.33	9.472620e-08	4545	1.368e-01
265kHz_150dA_100Mss_Ni0sRD014.txt	29/05/2024 17:58:49	20.2	1285.54	11.35	57041.50	3597.88	2.640264e+05	6.009704e+01	6.438744e+00	3734.63	9.453355e-08	4545	1.367e-01
265kHz_150dA_100Mss_Ni0sRD015.txt	29/05/2024 17:58:50	20.3	1279.09	11.22	57041.50	3604.74	2.640264e+05	6.027891e+01	6.436604e+00	3694.81	9.321179e-08	4545	1.366e-01
265kHz_150dA_100Mss_Ni0sRD016.txt	29/05/2024 17:58:50	20.3	1285.15	11.35	57041.50	3589.72	2.640264e+05	6.001537e+01	6.438627e+00	3726.76	9.446038e-08	4545	1.365e-01
265kHz_150dA_100Mss_Ni0sRD017.txt	29/05/2024 17:58:51	20.3	1276.15	11.21	57041.50	3588.75	2.640264e+05	6.001836e+01	6.436479e+00	3675.85	9.313421e-08	4545	1.366e-01
265kHz_150dA_100Mss_Ni0sRD018.txt	29/05/2024 17:58:51	20.3	1268.12	11.07	57041.50	3604.52	2.640264e+05	6.025348e+01	6.434349e+00	3639.37	9.182048e-08	4545	1.366e-01
265kHz_150dA_100Mss_Ni0sRD019.txt	29/05/2024 17:58:53	20.3	1264.11	11.02	57041.50	3584.48	2.640264e+05	5.998779e+01	6.433784e+00	3609.88	9.147137e-08	4545	1.367e-01
265kHz_150dA_100Mss_Ni0sRD020.txt	29/05/2024 17:58:53	20.3	1262.08	11.00	57041.50	3593.32	2.640264e+05	6.008913e+01	6.433398e+00	3606.79	9.123406e-08	4545	1.366e-01
265kHz_150dA_100Mss_Ni0sRD021.txt	29/05/2024 17:58:54	20.3	1255.63	10.88	57041.50	3591.40	2.640264e+05	6.011586e+01	6.431506e+00	3563.28	9.006756e-08	4545	1.364e-01
265kHz_150dA_100Mss_Ni0sRD022.txt	29/05/2024 17:58:54	20.3	1253.51	10.87	57041.50	3582.64	2.640264e+05	5.997269e+01	6.431386e+00	3551.93	8.999357e-08	4545	1.366e-01
265kHz_150dA_100Mss_Ni0sRD023.txt	29/05/2024 17:58:55	20.4	1249.92	10.76	57041.50	3566.28	2.640264e+05	5.976590e+01	6.429971e+00	3506.13	8.912153e-08	4545	1.366e-01
265kHz_150dA_100Mss_Ni0sRD024.txt	29/05/2024 17:58:55	20.4	1245.94	10.68	57041.50	3560.42	2.640264e+05	5.969865e+01	6.428659e+00	3471.10	8.831397e-08	4545	1.364e-01
265kHz_150dA_100Mss_Ni0sRD025.txt	29/05/2024 17:58:56	20.6	1248.17	10.47	57041.50	3597.95	2.640264e+05	6.041579e+01	6.426116e+00	3451.83	8.674848e-08	4545	1.364e-01
265kHz_150dA_100Mss_Ni0sRD026.txt	29/05/2024 17:58:56	20.6	1250.90	10.19	57041.50	3628.92	2.640264e+05	6.106352e+01	6.423006e+00	3413.42	8.483635e-08	4545	1.360e-01
265kHz_150dA_100Mss_Ni0sRD027.txt	29/05/2024 17:58:57	22.0	1241.66	10.09	57041.50	3598.20	2.640264e+05	6.056948e+01	6.421554e+00	3350.87	8.394379e-08	4545	1.361e-01
265kHz_150dA_100Mss_Ni0sRD028.txt	29/05/2024 17:58:57	22.0	1236.86	10.08	57041.50	3542.70	2.640264e+05	5.973495e+01	6.421260e+00	3297.73	8.376336e-08	4545	1.360e-01
265kHz_150dA_100Mss_Ni0sRD029.txt	29/05/2024 17:58:58	23.0	1235.82	10.00	57041.50	3554.04	2.640264e+05	5.995498e+01	6.420219e+00	3285.08	8.312375e-08	4545	1.360e-01
265kHz_150dA_100Mss_Ni0sRD030.txt	29/05/2024 17:58:58	23.0	1228.97	10.02	57041.50	3487.13	2.640264e+05	5.892798e+01	6.419866e+00	3220.54	8.290702e-08	4545	1.359e-01
265kHz_150dA_100Mss_Ni0sRD031.txt	29/05/2024 17:58:59	27.2	1214.54	10.09	57041.50	3352.27	2.640264e+05	5.677439e+01	6.420448e+00	3115.97	8.326420e-08	4545	1.361e-01
265kHz_150dA_100Mss_Ni0sRD032.txt	29/05/2024 17:59:00	32.3	1197.95	10.04	57041.50	3274.76	2.640264e+05	5.555084e+01	6.418916e+00	3014.99	8.232252e-08	4545	1.360e-01
265kHz_150dA_100Mss_Ni0sRD033.txt	29/05/2024 17:59:00	32.3	1202.49	10.00	57041.50	3298.14	2.640264e+05	5.598904e+01	6.418534e+00	3030.28	8.208898e-08	4545	1.361e-01
265kHz_150dA_100Mss_Ni0sRD034.txt	29/05/2024 17:59:01	36.7	1203.74	10.00	57041.50	3309.03	2.640264e+05	5.612282e+01	6.418528e+00	3037.37	8.208455e-08	4545	1.360e-01
265kHz_150dA_100Mss_Ni0sRD035.txt	29/05/2024 17:59:01	36.7	1200.15	9.90	57041.50	3341.71	2.640264e+05	5.664130e+01	6.416951e+00	3029.94	8.111696e-08	4545	1.358e-01
265kHz_150dA_100Mss_Ni0sRD036.txt	29/05/2024 17:59:02	38.4	1195.86	9.83	57041.50	3351.02	2.640264e+05	5.682888e+01	6.415785e+00	3013.64	8.040164e-08	4545	1.358e-01
